learning_rate,epochs,reg_l1,reg_l2,batch_size,threshold,acc,prec,rec,f1,log_loss,overall
0.01,100,0.01,0.1,64,0.4,0.6721951219512196,0.6172839506172839,0.9505703422053232,0.7485029940119761,0.5936605508214777,0.5898795750895431
0.01,100,0.1,0.0,16,0.5,0.6819512195121952,0.65527950310559,0.8022813688212928,0.7213675213675214,0.65111458554549,0.5491927233087837
0.01,100,0.1,0.0,32,0.5,0.6848780487804879,0.6583463338533542,0.8022813688212928,0.7232219365895458,0.6531525219777561,0.5499736874579673
0.01,100,0.1,0.0,64,0.5,0.6829268292682927,0.6534351145038167,0.8136882129277566,0.724809483488569,0.6596543335463931,0.5484616411752392
0.01,100,0.1,0.001,16,0.5,0.6819512195121952,0.6547987616099071,0.8041825095057035,0.7218430034129693,0.6516793854630063,0.549296908113647
0.01,100,0.1,0.001,32,0.5,0.68,0.6527777777777778,0.8041825095057035,0.7206132879045997,0.6534786420923824,0.5476436548891775
0.01,100,0.1,0.001,64,0.5,0.6790243902439025,0.649923896499239,0.811787072243346,0.7218934911242604,0.6597336938169341,0.546131239359738
0.01,100,0.1,0.01,16,0.5,0.6829268292682927,0.6529680365296804,0.8155893536121673,0.7252747252747253,0.6543619682788109,0.550678524411141
0.01,100,0.1,0.01,32,0.5,0.6848780487804879,0.6563944530046225,0.8098859315589354,0.7251063829787234,0.655488250144867,0.5503526714352728
0.01,100,0.1,0.01,64,0.5,0.68,0.6490963855421686,0.8193916349809885,0.7243697478991596,0.6610309029771281,0.5474039579305079
0.01,100,0.1,0.1,16,0.5,0.6634146341463415,0.6262203626220363,0.8536121673003803,0.7224456958970233,0.6684507482604384,0.5423168718172086
0.01,100,0.1,0.1,32,0.5,0.6634146341463415,0.6265734265734266,0.8517110266159695,0.7219983883964545,0.6688098942812514,0.5418609520838874
0.01,100,0.1,0.1,64,0.5,0.6624390243902439,0.6260504201680672,0.8498098859315589,0.7209677419354839,0.6701280150888298,0.5405917650334001
0.01,200,0.0,0.0,16,0.4,0.7209756097560975,0.6846153846153846,0.8460076045627376,0.7568027210884354,0.5443034263723835,0.6148552758514338
0.01,200,0.0,0.0,32,0.4,0.7219512195121951,0.6856702619414484,0.8460076045627376,0.7574468085106383,0.5447101534543433,0.6152269188495773
0.01,200,0.0,0.0,64,0.45,0.7268292682926829,0.7009803921568627,0.8155893536121673,0.7539543057996485,0.5486336166867,0.6121696986522925
0.01,200,0.0,0.001,16,0.4,0.7239024390243902,0.6866359447004609,0.8498098859315589,0.7595581988105352,0.544502675528331,0.6168857599522446
0.01,200,0.0,0.001,32,0.4,0.7180487804878048,0.6814701378254211,0.8460076045627376,0.7548770144189991,0.5449835541234261,0.6130604712024381
0.01,200,0.0,0.001,64,0.45,0.7268292682926829,0.7009803921568627,0.8155893536121673,0.7539543057996485,0.5489504429778042,0.6120554277225427
0.01,200,0.0,0.01,16,0.4,0.7170731707317073,0.6782477341389728,0.8536121673003803,0.7558922558922558,0.5473793973734357,0.6128000259868105
0.01,200,0.0,0.01,32,0.4,0.7141463414634146,0.6762481089258698,0.8498098859315589,0.7531592249368155,0.5479897391249542,0.6104873423552218
0.01,200,0.0,0.01,64,0.45,0.7209756097560975,0.6929260450160771,0.8193916349809885,0.7508710801393729,0.551895561408544,0.6083038183654373
0.01,200,0.0,0.1,16,0.4,0.6897560975609756,0.6347150259067358,0.9315589353612167,0.7550077041602465,0.5826556088223448,0.5987435968112034
0.01,200,0.0,0.1,32,0.4,0.6917073170731707,0.6363636363636364,0.9315589353612167,0.7561728395061729,0.5827587256738217,0.59962009412333
0.01,200,0.0,0.1,64,0.4,0.6897560975609756,0.6347150259067358,0.9315589353612167,0.7550077041602465,0.5831206876063988,0.5985758550973591
0.01,200,0.001,0.0,16,0.4,0.7229268292682927,0.6855828220858896,0.8498098859315589,0.7589134125636672,0.5442667498606696,0.6164526896018869
0.01,200,0.001,0.0,32,0.4,0.7209756097560975,0.6846153846153846,0.8460076045627376,0.7568027210884354,0.5449519312980068,0.6146213771413866
0.01,200,0.001,0.0,64,0.45,0.7248780487804878,0.6986970684039088,0.8155893536121673,0.7526315789473684,0.5490230810069141,0.6109491997009584
0.01,200,0.001,0.001,16,0.4,0.7248780487804878,0.6865443425076453,0.8536121673003803,0.7610169491525424,0.5446557263214075,0.6178936093628772
0.01,200,0.001,0.001,32,0.4,0.7170731707317073,0.6804281345565749,0.8460076045627376,0.7542372881355932,0.5452806629731405,0.612438638148381
0.01,200,0.001,0.001,64,0.45,0.7248780487804878,0.6986970684039088,0.8155893536121673,0.7526315789473684,0.5493292327367343,0.6108387788053656
0.01,200,0.001,0.01,16,0.4,0.72,0.6802413273001509,0.8574144486692015,0.7586206896551724,0.5476588555695274,0.6147894264169329
0.01,200,0.001,0.01,32,0.4,0.7170731707317073,0.677710843373494,0.8555133079847909,0.7563025210084033,0.5484390169902269,0.6126982082238197
0.01,200,0.001,0.01,64,0.45,0.72,0.6918138041733547,0.8193916349809885,0.7502175805047868,0.5523797967295216,0.6075970028507822
0.01,200,0.001,0.1,16,0.4,0.686829268292683,0.632258064516129,0.9315589353612167,0.7532667179093006,0.5834644817704752,0.5970861943323575
0.01,200,0.001,0.1,32,0.4,0.6897560975609756,0.6347150259067358,0.9315589353612167,0.7550077041602465,0.5833763535269458,0.5984836431084347
0.01,200,0.001,0.1,64,0.4,0.6878048780487804,0.6330749354005168,0.9315589353612167,0.7538461538461538,0.583778654865537,0.5974274549653064
0.01,200,0.01,0.0,16,0.4,0.7278048780487805,0.684053651266766,0.8726235741444867,0.7669172932330827,0.5476005135738425,0.6210991850603058
0.01,200,0.01,0.0,32,0.4,0.7297560975609756,0.6844444444444444,0.8783269961977186,0.7693588676103247,0.5489050812683839,0.6224654101891115
0.01,200,0.01,0.0,64,0.4,0.713170731707317,0.6695906432748538,0.870722433460076,0.7570247933884298,0.5537441501504999,0.6110373169413371
0.01,200,0.01,0.001,16,0.4,0.7258536585365853,0.6831091180866966,0.8688212927756654,0.7648535564853557,0.5481808373702481,0.6193220115394118
