learning_rate,epochs,reg_l1,reg_l2,batch_size,threshold,acc,prec,rec,f1,log_loss,overall
0.001,50,0.0001,0.0001,128,0.49999999999999994,0.7053658536585365,0.699288256227758,0.747148288973384,0.7224264705882353,0.6794027681197481,0.5432986392042498
0.001,50,0.0001,0.0001,1026,0.49999999999999994,0.7053658536585365,0.6985815602836879,0.7490494296577946,0.7229357798165138,0.6910730386706753,0.5393606380627531
0.001,50,0.0001,0.001,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.6499674520193914,0.5550399687561944
0.001,50,0.0001,0.001,128,0.49999999999999994,0.7063414634146341,0.6998223801065719,0.7490494296577946,0.7235996326905417,0.679450191319144,0.5441131627680175
0.001,50,0.0001,0.001,1026,0.49999999999999994,0.7053658536585365,0.6985815602836879,0.7490494296577946,0.7229357798165138,0.6910730839485975,0.5393606217321948
0.001,50,0.0001,0.01,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.6501850513000444,0.5549614864054196
0.001,50,0.0001,0.01,128,0.49999999999999994,0.7053658536585365,0.6985815602836879,0.7490494296577946,0.7229357798165138,0.6794406342457717,0.543556141107109
0.001,50,0.0001,0.01,1026,0.49999999999999994,0.7053658536585365,0.6985815602836879,0.7490494296577946,0.7229357798165138,0.6910735366566547,0.5393604584522774
0.001,50,0.001,0.0,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.6502933776686441,0.5549224159267255
0.001,50,0.001,0.0,128,0.49999999999999994,0.7063414634146341,0.6998223801065719,0.7490494296577946,0.7235996326905417,0.6795440889470649,0.5440792963574793
0.001,50,0.001,0.0,1026,0.49999999999999994,0.7063414634146341,0.6998223801065719,0.7490494296577946,0.7235996326905417,0.6910916598752601,0.5399143905293741
0.001,50,0.001,0.0001,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.650280144440213,0.5549271888049837
0.001,50,0.001,0.0001,128,0.49999999999999994,0.7053658536585365,0.699288256227758,0.747148288973384,0.7224264705882353,0.6795309970073632,0.5432523904091846
0.001,50,0.001,0.0001,1026,0.49999999999999994,0.7063414634146341,0.6998223801065719,0.7490494296577946,0.7235996326905417,0.6910916648620365,0.5399143887307747
0.001,50,0.001,0.001,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.6503298980705855,0.5549092439760326
0.001,50,0.001,0.001,128,0.49999999999999994,0.7063414634146341,0.6998223801065719,0.7490494296577946,0.7235996326905417,0.67954737798856,0.5440781100865157
