learning_rate,epochs,reg_l1,reg_l2,batch_size,threshold,acc,prec,rec,f1,log_loss,overall
0.001,50,0.001,0.0001,128,0.49999999999999994,0.7053658536585365,0.699288256227758,0.747148288973384,0.7224264705882353,0.6795099584151375,0.5432599784773524
0.001,50,0.001,0.0001,1026,0.49999999999999994,0.7063414634146341,0.6998223801065719,0.7490494296577946,0.7235996326905417,0.6910916648620365,0.5399143887307747
0.001,50,0.001,0.001,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.6503387207912487,0.5549060618521956
0.001,50,0.001,0.001,128,0.49999999999999994,0.7063414634146341,0.6998223801065719,0.7490494296577946,0.7235996326905417,0.6795591280496248,0.5440738721478087
0.001,50,0.001,0.001,1026,0.49999999999999994,0.7063414634146341,0.6998223801065719,0.7490494296577946,0.7235996326905417,0.6910917097423119,0.5399143725436371
0.001,50,0.001,0.01,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.6505365867825644,0.5548346967810875
0.001,50,0.001,0.01,128,0.49999999999999994,0.7063414634146341,0.6998223801065719,0.7490494296577946,0.7235996326905417,0.6795449965688108,0.5440789690021314
0.001,50,0.001,0.01,1026,0.49999999999999994,0.7063414634146341,0.6998223801065719,0.7490494296577946,0.7235996326905417,0.6910921584745071,0.5399142106977088
0.001,50,0.01,0.0,32,0.49999999999999994,0.7102439024390244,0.7033747779751333,0.752851711026616,0.7272727272727273,0.6537705275034119,0.5561596049559211
0.001,50,0.01,0.0,128,0.49999999999999994,0.7092682926829268,0.7007042253521126,0.7566539923954373,0.7276051188299817,0.6807646794673959,0.5463965107696783
0.001,50,0.01,0.0,1026,0.49999999999999994,0.7092682926829268,0.7007042253521126,0.7566539923954373,0.7276051188299817,0.6912780344237808,0.5426046195050078
0.001,50,0.01,0.0001,32,0.49999999999999994,0.7082926829268292,0.7015985790408525,0.7509505703422054,0.7254361799816346,0.6537790464374449,0.5547643017608301
0.001,50,0.01,0.0001,128,0.49999999999999994,0.7082926829268292,0.7008849557522124,0.752851711026616,0.7259395050412466,0.680751085306361,0.5453044727909543
0.001,50,0.01,0.0001,1026,0.49999999999999994,0.7092682926829268,0.7007042253521126,0.7566539923954373,0.7276051188299817,0.691278038968183,0.5426046178659613
0.001,50,0.01,0.001,32,0.49999999999999994,0.7092682926829268,0.702846975088968,0.7509505703422054,0.7261029411764706,0.6537969917816896,0.5553205403177895
0.001,50,0.01,0.001,128,0.49999999999999994,0.7082926829268292,0.7001763668430335,0.7547528517110266,0.7264409881061299,0.6807714875311999,0.5455659383308513
0.001,50,0.01,0.001,1026,0.49999999999999994,0.7092682926829268,0.7007042253521126,0.7566539923954373,0.7276051188299817,0.6912780798671515,0.5426046031147764
0.001,50,0.01,0.01,32,0.49999999999999994,0.7073170731707317,0.700354609929078,0.7509505703422054,0.7247706422018348,0.6540044250158553,0.5541214938907617
0.001,50,0.01,0.01,128,0.49999999999999994,0.7082926829268292,0.7001763668430335,0.7547528517110266,0.7264409881061299,0.6807630552303233,0.5455689796405159
0.001,50,0.01,0.01,1026,0.49999999999999994,0.7092682926829268,0.7007042253521126,0.7566539923954373,0.7276051188299817,0.6912784887923574,0.5426044556261849
0.001,100,0.0,0.0,32,0.44999999999999996,0.68,0.6341463414634146,0.8897338403041825,0.740506329113924,0.6224973266585285,0.5728974750825673
0.001,100,0.0,0.0,128,0.49999999999999994,0.7053658536585365,0.699288256227758,0.747148288973384,0.7224264705882353,0.6673212594977361,0.5476561223481083
0.001,100,0.0,0.0,1026,0.49999999999999994,0.7053658536585365,0.6985815602836879,0.7490494296577946,0.7229357798165138,0.6890336074044517,0.5400962074062569
0.001,100,0.0,0.0001,32,0.44999999999999996,0.68,0.6341463414634146,0.8897338403041825,0.740506329113924,0.6224937475735314,0.5728987659646113
0.001,100,0.0,0.0001,128,0.49999999999999994,0.7063414634146341,0.6998223801065719,0.7490494296577946,0.7235996326905417,0.6673421220257214,0.5484802256491077
0.001,100,0.0,0.0001,1026,0.49999999999999994,0.7053658536585365,0.6985815602836879,0.7490494296577946,0.7229357798165138,0.6890336274385438,0.5400962001804855
0.001,100,0.0,0.001,32,0.44999999999999996,0.68,0.6341463414634146,0.8897338403041825,0.740506329113924,0.622567278383305,0.572872245330958
