learning_rate,epochs,reg_l1,reg_l2,threshold,acc,prec,rec,f1,log_loss,acc_norm,prec_norm,rec_norm,f1_norm,log_loss_norm,overall
0.01,100,0.001,0.0,0.3,0.72501447799345,0.24829686624699523,0.9627358956624839,0.39476396310404943,0.3290643924175568,0.32487983725526387,0.037467248115119804,0.956062044356102,0.0761803631675945,0.9245942638568048,0.4807552476023482
0.01,100,0.001,0.0,0.4,0.7895408835712574,0.2986325465494425,0.9334980074432698,0.45248145385415073,0.3290932557271379,0.532397402360009,0.1543710632715481,0.8730353944617875,0.27082340995132165,0.9245716405563363,0.5721080272360547
0.01,100,0.001,0.0,0.5,0.8439720196729542,0.3627227814637216,0.8916477291440239,0.5156510127943874,0.32920947492211383,0.7074484799547286,0.3032196122676502,0.7541934186569929,0.48385268853426694,0.9244805469913121,0.6616429166375324
0.01,100,0.001,0.0,0.6,0.8908178140654777,0.4540964966169165,0.8457695221157329,0.5908653106681414,0.3315966344058331,0.8581050228178173,0.5154336092225276,0.6239133586144349,0.737500931200128,0.9226094716693852,0.7648994737909938
0.01,100,0.001,0.0,0.7,0.9258585664076318,0.5794045859337232,0.7499983532589006,0.6535107500613068,0.3291179768574215,0.970796432487522,0.8064596492616639,0.351952564215473,0.9487627000698987,0.9245522639302168,0.8476257522572965
0.01,100,0.001,0.001,0.3,0.724587255942396,0.24801198354998624,0.9627375424035833,0.39439822508701283,0.3296329814501937,0.323505886870148,0.03680561259231979,0.956066720596592,0.07494696994423235,0.9241485990763237,0.4799818237214363
0.01,100,0.001,0.001,0.4,0.7899147866671231,0.29932103865930415,0.935790271053585,0.4535408728271686,0.32909456051899183,0.533599878452461,0.15597007522220238,0.8795447212234256,0.274396131738925,0.9245706178497033,0.5743589920856516
0.01,100,0.001,0.001,0.5,0.8441856806225966,0.3629713651131212,0.8910746632414452,0.515809947576411,0.3291919755277721,0.7081356157037405,0.3037969438309808,0.7525660869665837,0.48438867077831343,0.9244942631611468,0.6617626101611042
0.01,100,0.001,0.001,0.6,0.8931681986238061,0.4602042454841606,0.8451948094720547,0.5958951208928834,0.32850363896561724,0.8656638830431244,0.52961875860976,0.6222813506835356,0.7544631652502286,0.9250337870444113,0.7730504864851441
0.01,100,0.001,0.001,0.7,0.9256449197220226,0.5781880344026501,0.7511461318051575,0.6532122889677112,0.32930784682601166,0.9701093426117834,0.8036342277224634,0.3552119038367817,0.9477561875578533,0.9244034422804582,0.8471706665696611
