learning_rate,epochs,reg_l1,reg_l2,threshold,acc,prec,rec,f1,log_loss
0.01,100,0.001,0.0,0.7,0.9258585664076318,0.5794045859337232,0.7499983532589006,0.6535107500613068,0.3291179768574215
0.01,100,0.001,0.001,0.3,0.724587255942396,0.24801198354998624,0.9627375424035833,0.39439822508701283,0.3296329814501937
0.01,100,0.001,0.001,0.4,0.7899147866671231,0.29932103865930415,0.935790271053585,0.4535408728271686,0.32909456051899183
0.01,100,0.001,0.001,0.5,0.8441856806225966,0.3629713651131212,0.8910746632414452,0.515809947576411,0.3291919755277721
0.01,100,0.001,0.001,0.6,0.8931681986238061,0.4602042454841606,0.8451948094720547,0.5958951208928834,0.32850363896561724
0.01,100,0.001,0.001,0.7,0.9256449197220226,0.5781880344026501,0.7511461318051575,0.6532122889677112,0.32930784682601166
0.01,100,0.001,0.01,0.3,0.7252282815834217,0.24838270738346635,0.9621644765010045,0.3948184547656286,0.32912350724608086
0.01,100,0.001,0.01,0.4,0.789380598632935,0.29868700005441184,0.9352155584099068,0.45275305694489243,0.3299842702778171
0.01,100,0.001,0.01,0.5,0.8437583301952462,0.3623847295305703,0.8916460824029245,0.5153131851695747,0.32898277886670857
0.01,100,0.001,0.01,0.6,0.8916725577122773,0.4561922908353355,0.8457695221157329,0.5926718282342451,0.33045659222712637
0.01,100,0.001,0.01,0.7,0.9251641504912532,0.5757535928015699,0.7534334551921746,0.6524470440986018,0.330624138317684
0.01,100,0.001,0.1,0.3,0.7248542215831935,0.24827474424148632,0.9633106083061621,0.3947820046130691,0.32979798436678837
0.01,100,0.001,0.1,0.4,0.7891669376832928,0.29834623084111517,0.9340710733458486,0.45221803840236713,0.3298604715759722
0.01,100,0.001,0.1,0.5,0.8437049256558602,0.3622973730606921,0.8916460824029245,0.5152277295561183,0.32938743150557237
0.01,100,0.001,0.1,0.6,0.8927408909885546,0.45909164838460903,0.8451948094720547,0.5949539100404214,0.3293245566234032
0.01,100,0.001,0.1,0.7,0.9258051476042131,0.5791353546577673,0.7499950597767019,0.6533562653249183,0.32916566173157163
0.01,100,0.01,0.0,0.3,0.7255487230837697,0.24859841640713842,0.9621628297599051,0.39509423406538835,0.3288314865813097
0.01,100,0.01,0.0,0.4,0.7891669234192599,0.2982052449794279,0.9329216480584923,0.4519287621892092,0.32997484346524175
0.01,100,0.01,0.0,0.5,0.8432775752285098,0.36169945432163947,0.8927922142080822,0.514809709009423,0.3305502062469596
0.01,100,0.01,0.0,0.6,0.8910849080825717,0.4548432035121044,0.8451948094720547,0.5913117243248482,0.331738761637403
0.01,100,0.01,0.0,0.7,0.9259654040144694,0.5798836698259219,0.7505714191614794,0.6540279386682452,0.3289383942649759
0.01,100,0.01,0.001,0.3,0.7253884809375463,0.24848456533621116,0.9621628297599051,0.39495187896462347,0.3287747217496306
0.01,100,0.01,0.001,0.4,0.7898079633243184,0.2990950886488227,0.9346441392484273,0.45314065627946665,0.3291001968234346
0.01,100,0.01,0.001,0.5,0.8429036293405453,0.36112409893104824,0.8922224417877022,0.5140995734330106,0.3299477559175389
0.01,100,0.01,0.001,0.6,0.8927943097919734,0.4592072065114056,0.8451948094720547,0.5950537050946493,0.32886960475651483
0.01,100,0.01,0.001,0.7,0.9259119852110507,0.5796638856130394,0.7499967065178013,0.6536460602428564,0.3285491844883622
0.01,100,0.01,0.01,0.3,0.7251214154485183,0.2483152895151896,0.9621644765010045,0.39472856426909236,0.3292331472348088
0.01,100,0.01,0.01,0.4,0.7899682339986078,0.29892447909296693,0.9323485821559135,0.4526873484668261,0.3287097588094444
0.01,100,0.01,0.01,0.5,0.8433843985713144,0.3617925249656063,0.8916460824029245,0.5147205758091936,0.32988417405983095
0.01,100,0.01,0.01,0.6,0.89231356908927,0.4578824374910244,0.8451948094720547,0.5939471480766162,0.3294127504803785
0.01,100,0.01,0.01,0.7,0.92607225588534,0.5803329392949399,0.7517175509666371,0.6547148494345817,0.32897757984322556
0.01,100,0.01,0.1,0.3,0.7251747771958053,0.24834225774845495,0.9621644765010045,0.39476748478266876,0.3294897917548932
0.01,100,0.01,0.1,0.4,0.7887930060593612,0.2980125996411681,0.9346424925073279,0.45190548162572525,0.3301750665808712
0.01,100,0.01,0.1,0.5,0.8431707376216722,0.3616191706385747,0.8933652801106611,0.5148330779523829,0.3303819537366156
0.01,100,0.01,0.1,0.6,0.8918861758698208,0.4570143815822698,0.8463409412772123,0.5934731742717141,0.33048919213353
0.01,100,0.01,0.1,0.7,0.925858566407632,0.578854881798149,0.7557290122846887,0.6552499920430445,0.3307704069705283
0.01,100,0.1,0.0,0.3,0.7257623697693791,0.24867350677019898,0.9615897638573262,0.3951397797269095,0.3283683224123396
0.01,100,0.1,0.0,0.4,0.7897545445208995,0.2990081202918127,0.9346424925073279,0.45305158876789686,0.32913644731557273
0.01,100,0.1,0.0,0.5,0.8440788430157589,0.3627450135156142,0.8904999505977671,0.5154875004962353,0.32877680327825837
0.01,100,0.1,0.0,0.6,0.8926875007132017,0.4589118793106642,0.8451948094720547,0.5948045392640978,0.32921235686056904
0.01,100,0.1,0.0,0.7,0.926072270149373,0.5803743081687547,0.7499983532589007,0.654142056409546,0.32848046059172287
0.01,100,0.1,0.001,0.3,0.7252281817351911,0.24847094749408818,0.9627375424035833,0.39497452258552684,0.32883204893504014
0.01,100,0.1,0.001,0.4,0.7887930060593612,0.2981227498561071,0.9352172051510061,0.45209459748459757,0.3301949844304044
0.01,100,0.1,0.001,0.5,0.8438117489986648,0.3625170891113391,0.8922191483055034,0.515545509718432,0.32914357698175384
0.01,100,0.1,0.001,0.6,0.8921532841509476,0.4576264408729663,0.8474887198234693,0.5942953497584338,0.33064807955995645
0.01,100,0.1,0.001,0.7,0.9258051476042131,0.5791735489333665,0.7494219938741231,0.6531613661370861,0.32896128533891955
0.01,100,0.1,0.01,0.3,0.7249077687629089,0.24816555920884506,0.9621628297599051,0.39454274517351595,0.32921484561734327
0.01,100,0.1,0.01,0.4,0.7899682197345749,0.2991485181832075,0.9340677798636499,0.4531487644623516,0.3288473933842894
0.01,100,0.1,0.01,0.5,0.8433843843072815,0.36183029537868494,0.8922191483055034,0.5148528088522842,0.3295987295883154
0.01,100,0.1,0.01,0.6,0.8912451644928281,0.4552016136755125,0.8469156539208905,0.5921140471526416,0.3315651001873877
0.01,100,0.1,0.01,0.7,0.9259119852110507,0.57913288622227,0.754582880479531,0.6550505344133649,0.3297169752205432
0.01,100,0.1,0.1,0.3,0.72351887987402,0.24727086740912566,0.9627358956624839,0.393470212457801,0.33113881994938865
0.01,100,0.1,0.1,0.4,0.7897011257174809,0.29894453948147126,0.9346441392484275,0.45297919511314133,0.3290710551430709
0.01,100,0.1,0.1,0.5,0.8441323046112765,0.36291721617643957,0.8910730165003458,0.5157613738150012,0.32887697938247423
0.01,100,0.1,0.1,0.6,0.8910849080825715,0.4547261355598099,0.8451948094720547,0.5912573487544109,0.3312461257690626
0.01,100,0.1,0.1,0.7,0.9258051476042131,0.5791588887546235,0.7499983532589006,0.6533273414809765,0.3292191354559936
