learning_rate,epochs,reg_l1,reg_l2,threshold,acc,prec,rec,f1,log_loss
0.01,100,0.001,0.001,0.5,0.8376155244029077,0.35258155455548595,0.888204393505253,0.5047694268940525,0.3381180067114099
0.01,100,0.001,0.001,0.6,0.893755805461413,0.4617544524666168,0.8406036952870268,0.595987563977274,0.33859935637977945
0.01,100,0.001,0.001,0.7,0.9295976686864538,0.5990108422679683,0.7425402628198795,0.6628177684889323,0.33823071439477115
0.01,100,0.001,0.01,0.3,0.6729332985290929,0.21912554065818038,0.9787883278990878,0.3580598385310133,0.38826149872957727
0.01,100,0.001,0.01,0.4,0.7348430243173233,0.251696672004716,0.935790271053585,0.3966840957578209,0.3891887475827104
0.01,100,0.001,0.01,0.5,0.8145397139205551,0.3221464952021847,0.8973701544643152,0.4740875215466761,0.3893210317576928
0.01,100,0.001,0.01,0.6,0.8934888112925495,0.45937437194662156,0.8056186806310313,0.5850268679426426,0.389782505767616
0.01,100,0.001,0.01,0.7,0.9450883371560941,0.719799994547066,0.6737262457596417,0.6955631426928871,0.3919812899240629
0.01,100,0.001,0.1,0.3,0.09315741501489165,0.09315741501489165,1.0,0.17043731221947503,0.5501961524239463
0.01,100,0.001,0.1,0.4,0.6612355790626818,0.2119445532925258,0.9696126864934295,0.3478326331259157,0.5441873238842957
0.01,100,0.001,0.1,0.5,0.7568505585795305,0.2581912100824648,0.8595082831077298,0.3970740740877332,0.5492551965620197
0.01,100,0.001,0.1,0.6,0.9425777675076741,0.7728303306261471,0.546406810921187,0.6372670439695491,0.5492256577864328
0.01,100,0.01,0.0,0.3,0.688103625346616,0.22711124284876621,0.9764960642887726,0.36849113320123783,0.36413999009545894
0.01,100,0.01,0.0,0.4,0.7557288207638675,0.2666146143910857,0.9266129829068273,0.41407834925514697,0.36432556587040804
0.01,100,0.01,0.0,0.5,0.8214835878036812,0.3294968007876501,0.8847627046075817,0.4801385326866333,0.3639175189725908
0.01,100,0.01,0.0,0.6,0.8905511764974381,0.4522997379546812,0.818805783354741,0.5825327116850163,0.36571129755294873
0.01,100,0.01,0.0,0.7,0.9411357165679595,0.6713834146490231,0.7259147646806969,0.6970547480206786,0.364514199737821
